command,source_path,owner,category,status,effect,mutates,usage_access,summary,usage,examples,notes,risk,related,lead_comments
EXAMPLE,src/cli/cmd_example.cpp,DOT|EXAMPLE,diagnostics,supported,test,none,EXAMPLE USAGE,Minimal example/test command used to verify token parsing and command routing.,"EXAMPLE USAGE
  EXAMPLE TEST",,"EXAMPLE with no arguments shows usage.
  EXAMPLE TEST prints OK.
  EXAMPLE is read-only and does not mutate table data.",,"ERROR_TEST
  TEST",
EXPORT,src/cli/cmd_export.cpp,DOT|EXPORT,io,supported,export,filesystem,EXPORT USAGE,"Export the current DBF rowset, or an already-open named work area, to a delimited file.","EXPORT USAGE
  EXPORT [TO] <file> [CSV|PIPE]
  EXPORT <open-area-token> TO <file> [CSV|PIPE]",,"EXPORT [TO] <file> writes the current table to the named file.
  EXPORT <open-area-token> TO <file> writes an already-open work area without changing
  the user's selected area intentionally.
  Named tokens may be an area number, #area, alias/name, logical name, DBF basename/stem,
  filename, or full path, if those values resolve uniquely to an open area.
  Named EXPORT does not auto-open tables from disk.
  CSV is the default format; PIPE uses a pipe delimiter.
  A missing extension is added automatically (.csv for CSV, .txt for PIPE).
  EXPORT writes a header row.
  EXPORT honors the active SET FILTER for the exported area.
  EXPORT reads records in physical table order.
  EXPORT may report file/write errors and still emit a summary when appropriate.",,"DUMP
  LIST
  COPY TO
  DDL
  WORKSPACE
  WSREPORT",src/cli/cmd_export.cpp
EXPORTFUNCTIONS,src/cli/cmd_export_functions.cpp,DOT|EXPORTFUNCTIONS,help,supported,export,filesystem,EXPORTFUNCTIONS USAGE,Export the expression/function catalog to Markdown documentation.,"EXPORTFUNCTIONS
  EXPORTFUNCTIONS USAGE
  EXPORTFUNCTIONS MD
  EXPORTFUNCTIONS MD <path>
  EXPORTFUNCTIONS <path>",,"EXPORTFUNCTIONS with no arguments writes ./data/docs/functions.md.
  EXPORTFUNCTIONS MD writes the default Markdown output.
  EXPORTFUNCTIONS MD <path> writes Markdown to the supplied path.
  EXPORTFUNCTIONS <path> treats the argument as the Markdown output path.
  EXPORTFUNCTIONS USAGE prints usage and does not write files.
  The expression function catalog remains the source of truth.",,"HELP
  CMDHELP
  DOTHELP","Export the function catalog to Markdown.
Command surface:
  EXPORTFUNCTIONS
  EXPORTFUNCTIONS MD
  EXPORTFUNCTIONS MD <path>
  EXPORTFUNCTIONS <path>
Default output path:
  ./data/docs/functions.md
Notes:
- Keeps function_catalog as the single source of truth.
- Does not depend on cmd_help.cpp internals.
- Category order matches grouped HELP output."
FIELDMGR,src/cli/cmd_fieldmgr.cpp,DOT|FIELDMGR,schema,supported,mixed,table-schema index metadata,FIELDMGR USAGE,"Inspect and modify field definitions for the current DBF through the shared
  fields manager layer.","FIELDMGR
  FIELDMGR USAGE
  FIELDMGR HELP
  FIELDMGR SHOW
  FIELDMGR LIST
  FIELDMGR APPEND <name> <type>
  FIELDMGR DELETE <name>
  FIELDMGR MODIFY <name> NAME <newname>
  FIELDMGR MODIFY <name> TYPE <type>
  FIELDMGR MODIFY <name> TO <newname> <type>
  FIELDMGR COPY TO <target>
  FIELDMGR VALIDATE
  FIELDMGR CHECK
  FIELDMGR REBUILD INDEXES","FIELDMGR SHOW
  FIELDMGR APPEND ZIP C10
  FIELDMGR DELETE ZIP
  FIELDMGR MODIFY ZIP NAME POSTAL
  FIELDMGR VALIDATE","FIELDMGR with no arguments shows current field metadata.
  SHOW and LIST are read-only reports.
  APPEND, DELETE, and MODIFY mutate table schema.
  COPY exports or copies field metadata through the fields manager layer.
  VALIDATE and CHECK report field/schema consistency.
  REBUILD INDEXES delegates index rebuild through the fields manager layer.
  FIELDMGR is schema mutation capable and is not purely read-only.",,"STRUCT
  FIELDS
  DDL
  CREATE
  INDEX",
FIELDS,src/cli/cmd_fields.cpp,DOT|FIELDS,report,supported,report,none,FIELDS USAGE,"Report the field list for the current work area with aligned field number,
  name, type, length, and decimal columns.","FIELDS
  FIELDS USAGE",,"FIELDS with no arguments reports field metadata.
  FIELDS is read-only and does not mutate table data or cursor position.
  If no fields are available, FIELDS prints a no-fields message.",,"STRUCT
  FIELDMGR
  DUMP",
FIND,src/cli/cmd_find.cpp,DOT|FIND,navigation,supported,locate,cursor,FIND USAGE,"Find text in the current table, delegating to SEEK when the active order
  can satisfy the request and otherwise scanning the selected field.","FIND USAGE
  FIND <text>
  FIND <field> <text>
  FIND <text> IN <field>",,"FIND requires an open table except for FIND USAGE.
  FIND with one text argument delegates to SEEK when an order is active.
  FIND with a field delegates to SEEK only when that field is the active tag.
  Otherwise FIND scans the requested field using ordered or physical traversal.
  FIND honors active SET FILTER visibility.
  FIND positions on the found record when successful.
  FIND restores the prior cursor when not found.",,"SEEK
  LOCATE
  GOTO
  COUNT
  SET ORDER","src/cli/cmd_find.cpp
FIND <text>
FIND <field> <text>
Dev-tool contract:
- FIND <text> delegates to SEEK when an order is active.
- FIND <field> <text> and FIND <text> IN <field> delegate to SEEK only
  when <field> is the active tag.
- Otherwise fall back to ordered or physical scan of the requested field.
- Honors active SET FILTER via filter::visible(&A, nullptr).
- Positions on the found record when successful; restores the prior cursor when not found."
FIRST,src/cli/cmd_first.cpp,DOT|FIRST,navigation,supported,navigate,cursor,FIRST USAGE,Move the current work-area cursor to the first visible/logical record.,"FIRST
  FIRST USAGE",,"FIRST with no arguments moves to the first visible/logical record.
  FIRST requires an open table except for FIRST USAGE.
  FIRST uses the logical_nav first_recno helper.
  FIRST mutates cursor position but does not mutate table data.
  TALK ON prints the resulting record number when movement succeeds.",,"TOP
  BOTTOM
  FIRST
  LAST
  NEXT
  PRIOR
  SKIP
  GOTO
  GPS","src/cli/cmd_first.cpp
FIRST = first visible record in current logical view
(active order + filter visibility)."
FORMULA / ?,src/edu/edu_formula.cpp,EDU|FORMULA,education-expression,supported,evaluate-expression,none,FORMULA USAGE,Evaluate a scalar expression through xexpr and print the formatted value.,"FORMULA USAGE
  FORMULA <expr>
  ? <expr>","FORMULA 2 + 2
  FORMULA UPPER(LNAME)
  ? GPA + 0","FORMULA USAGE prints usage before expression evaluation.
  When a table is open, field-aware expressions use the current record.
  This command does not mutate table data.",,,"===============================
FILE: src/cli/edu_formula.cpp
FORMULA / ""?"" <expr>
Phase 1 xexpr migration:
- FORMULA now routes expression evaluation through xexpr.
- No direct dependency on cli/expr AST/parser/eval headers.
- No manual DBF header scanning or disk reads.
- Table-aware expressions use the current DbArea through xexpr::EvalContext.
==============================="
FOXHELP,src/cli/cmd_foxhelp.cpp,DOT|FOXHELP,help,supported,report,none,FOXHELP USAGE,List or search the static FoxPro-style command catalog.,"FOXHELP
  FOXHELP USAGE
  FOXHELP <name>
  FOXHELP <search>
  FH
  FH <name>
  FH <search>",,"FOXHELP with no arguments lists the FoxPro-style command subset.
  FOXHELP <name> prints an exact catalog item when found.
  FOXHELP <search> searches the catalog and prints matching items.
  FH is a short alias for FOXHELP.
  FOXHELP is a read-only help/report command.",,"HELP
  CMDHELP
  FOXSTANDARD",src/cli/cmd_foxhelp.cpp
FOXREF,src/cli/cmd_foxref.cpp,DOT|FOXREF_IMPL,reference-helper,implementation-shim,none,none,owned-by FOXREF/HELP surface,Empty translation-unit shim for FOXREF inline implementation.,"This file does not export a command handler.
  FOXREF command behavior and usage are owned by the actual FOXREF/help surface.",,"This file exists to keep the FOXREF implementation layout/build graph stable.
  Do not add command dispatch behavior here unless the FOXREF architecture changes.",,,
FOXSTANDARD,src/cli/cmd_foxstandard.cpp,DOT|FOXSTANDARD,help,supported,report,none,FOXSTANDARD USAGE,Render static historical FoxPro-standard reference topics.,"FOXSTANDARD USAGE
  FOXSTANDARD <command>
  FOXSTANDARD ALL
  FOXSTANDARD TOPICS
  FOXSTANDARD LIST",,"FOXSTANDARD with no arguments shows usage.
  FOXSTANDARD ALL, TOPICS, and LIST render the available topic list.
  FOXSTANDARD <command> renders the static reference for that command.
  FOXSTANDARD is separate from the live HELP and command catalogs.",,"FOXHELP
  HELP
  CMDHELP","src/cli/cmd_foxstandard.cpp
FOXSTANDARD is a static historical reference command.
It is intentionally separate from live HELP and the live command catalogs."
GO,src/cli/cmd_go.cpp,DOT|GO,navigation,supported,navigate,cursor,GO USAGE,"Refresh the current record, move to table/order endpoints, move to an
  absolute record number, or skip relative to the current record.","GO
  GO USAGE
  GO TOP
  GO BOTTOM
  GO FIRST
  GO LAST
  GO TO <recno>
  GO RECORD <recno>
  GO <recno>
  GO +<n>
  GO -<n>",,"GO with no arguments refreshes/re-reads the current record through the navigation layer.
  GO TOP/BOTTOM/FIRST/LAST move to logical endpoints.
  GO <recno>, GO TO <recno>, and GO RECORD <recno> navigate absolutely.
  GO +/-<n> delegates to relative skip.
  GO USAGE prints usage before navigation.",,"GOTO
  TOP
  BOTTOM
  SKIP","src/cli/cmd_go.cpp
FoxPro-style GO router.
Supported forms:
  GO
  GO TOP | BOTTOM | FIRST | LAST
  GO [TO] <recno>
  GO RECORD <recno>
  GO +/-<n>"
GOTO,src/cli/cmd_goto.cpp,DOT|GOTO,navigation,supported,navigate,cursor,GOTO USAGE,"Move the current work-area cursor to an absolute record number, first
  record, or last record through the shared navigation layer.","GOTO USAGE
  GOTO <recno>
  GOTO FIRST
  GOTO LAST",,"GOTO requires a target argument except for GOTO USAGE.
  GOTO FIRST and GOTO LAST use endpoint navigation.
  GOTO <recno> uses absolute record navigation.
  GOTO mutates cursor position but does not mutate table data.",,"SKIP
  GO
  TOP
  BOTTOM
  GPS","src/cli/cmd_goto.cpp
Narrow, engine-facing GOTO command.
Supported forms:
  GOTO <recno>
  GOTO FIRST
  GOTO LAST"
GPS,src/cli/cmd_gps.cpp,DOT|GPS,report,supported,report,cursor,GPS USAGE,"Report current work-area position, including area slot, table label,
  physical record number, and computed logical row.","GPS
  GPS USAGE",,"GPS with no arguments reports cursor position.
  GPS with no open table reports the current area and no-table state.
  GPS computes logical row by iterating visible ordered records.
  GPS is read-only for table data but may temporarily move the cursor while computing logical row.",,"GOTO
  SKIP
  AREA
  STATUS",
HELP,src/cli/cmd_help.cpp,DOT|HELP,help,supported,report,none,HELP USAGE,"Route user help requests across DotTalk command, function, FoxPro,
  PowerShell, SQL, beta, predicate, and educational help surfaces.","HELP
  HELP USAGE
  HELP GIANT
  HELP BETA
  HELP PS
  HELP SQL
  HELP PREDICATES
  HELP FUNCTIONS
  HELP FUNCTION <name>
  HELP /FOX <topic>
  HELP /DOT <topic>
  HELP /ED <topic>
  HELP <command>",,"HELP with no arguments prints the top-level help router.
  HELP <command> normalizes through the reflected command catalog first.
  HELP FUNCTION <name> checks reflected function metadata and catalog docs.
  HELP GIANT delegates to the full command catalog.
  HELP is read-only for table data and path state.",,"CMDHELP
  CMDHELPCHK
  FOXHELP
  PREDHELP",src/cli/cmd_help.cpp
HIER,src/dewey/cmd_hier.cpp,DEV|HIER,dev-hierarchy,dev-tool,hierarchy-table-operation,current-table hierarchy-fields,HIER USAGE,"Developer hierarchy service command for creating, moving, validating, and
  listing nested hierarchy nodes in the current DbArea.","HIER USAGE
  HIER CREATE ROOT <node_id> [NAME <text>] [TYPE <text>] [SORT <n>]
  HIER ADD CHILD <parent_id> <node_id> [NAME <text>] [TYPE <text>] [SORT <n>]
  HIER INSERT BETWEEN <left_id> <right_id> <node_id>
  HIER MOVE <node_id> TO <new_parent_id>
  HIER DELETE <node_id>
  HIER DELETE SUBTREE <node_id>
  HIER REBUILD
  HIER VALIDATE
  HIER CHILDREN <node_id>
  HIER SUBTREE <node_id>","HIER CREATE ROOT ROOT NAME Root
  HIER ADD CHILD ROOT CHILD1 NAME Child
  HIER VALIDATE
  HIER CHILDREN ROOT","HIER USAGE/HELP/? prints usage before constructing HierarchyService.
  HIER is a developer command and may mutate hierarchy state in the current table.",,,
IDX,src/cli/cmd_idx.cpp,DOT|IDX,education,supported,mixed,edu-idx-memory,IDX USAGE,"Memory-only educational index lab for teaching sorting and index concepts
  without writing persistent INX/CNX/CDX files.","IDX
  IDX USAGE
  IDX ON <field|#n> TAG <name>
  IDX ON <field|#n> TAG <name> SORT <algo>
  IDX ON <field|#n> TAG <name> <algo>
  IDX ON <field|#n> TAG <name> ASC
  IDX ON <field|#n> TAG <name> DESC
  IDX LIST
  IDX DROP <tag>
  IDX DROP ALL","IDX ON LNAME TAG lname_std
  IDX ON LNAME TAG lname_bubble BUBBLE
  IDX ON LNAME TAG lname_bubble2 SORT BUBBLE DESC","IDX with no arguments prints help/usage.
  IDX is memory-only and does not write .inx files.
  IDX does not participate in SET ORDER, REINDEX, WORKSPACE restore, IndexManager, or IIndexBackend.
  Use INDEX for persistent index files.
  SORT algorithms currently include STD and BUBBLE.",,"INDEX
  SET ORDER
  REINDEX","src/cli/cmd_idx.cpp
IDX is the EDU IDX command surface: a memory-only educational index lab.
It is intentionally orthogonal to persistent index families.
Supported Phase 1 commands:
  IDX ON <field|#n> TAG <name> [SORT <algo>|<algo>] [ASC|DESC]
  IDX LIST
  IDX DROP <tag>
  IDX DROP ALL
  IDX HELP
IDX does not write .inx files and does not participate in SET ORDER,
REINDEX, WORKSPACE restore, IndexManager, or IIndexBackend."
IMAGE,src/cli/cmd_image_display.cpp,DOT|IMAGE,shell,supported,mixed,external-viewer,IMAGE USAGE,"Inspect image file metadata or open a supported image file in the operating
  system viewer.","IMAGE USAGE
  IMAGE <file>
  IMAGE INFO <file>",,"IMAGE with no arguments prints usage.
  IMAGE USAGE prints usage and does not open a viewer.
  IMAGE INFO <file> prints file extension, size, and recognized-image status.
  IMAGE <file> opens the OS viewer on Windows.
  Non-Windows viewer launch is currently not implemented.
  IMAGE does not mutate table data.",,"WEB
  BANG",
IMPORT,src/cli/cmd_import.cpp,DOT|IMPORT,io,supported,import,table-data cursor,IMPORT USAGE,"Import records from a CSV file into the current open table by matching CSV
  headers to field names case-insensitively.","IMPORT USAGE
  IMPORT <csvfile>",,"IMPORT requires an open table except for IMPORT USAGE.
  IMPORT appends .csv to the file name when the extension is omitted.
  The first CSV row is interpreted as headers.
  Headers are mapped to current table fields case-insensitively.
  Each data row appends a blank record, sets mapped fields, and writes the record.
  Unmapped CSV columns are ignored.
  IMPORT mutates table data by appending records.",,"EXPORT
  APPEND
  APPEND_BLANK
  DDL",
IMPORTSQL / EXPORTSQL,src/cli/cmd_importsql.cpp,DOT|IMPORTSQL,import-export,supported-stub-mixed,import-export-preview-create,filesystem-or-table depending-on-subcommand,IMPORTSQL USAGE; EXPORTSQL USAGE,"Preview, validate, infer schema, create/import table data from delimited
  files, and expose EXPORTSQL preview/file hooks.","IMPORTSQL USAGE
  IMPORTSQL PREVIEW <file> [DELIM PIPE|TAB|COMMA]
  IMPORTSQL VALIDATE <file> [DELIM PIPE|TAB|COMMA]
  IMPORTSQL SCHEMA <file> [DELIM PIPE|TAB|COMMA]
  IMPORTSQL CREATE <file> TO <table> [DELIM PIPE|TAB|COMMA]
  IMPORTSQL FILE <file> TO <table> [DELIM PIPE|TAB|COMMA]
  IMPORTSQL MAP <subcommand> <mapfile>
  EXPORTSQL USAGE
  EXPORTSQL PREVIEW <table>
  EXPORTSQL FILE <table> TO <file>","IMPORTSQL PREVIEW data\students.psv
  IMPORTSQL VALIDATE data\students.csv DELIM COMMA
  IMPORTSQL CREATE data\students.psv TO students
  IMPORTSQL FILE data\students.psv TO students
  EXPORTSQL PREVIEW students
  EXPORTSQL FILE students TO tmp\students.sql","IMPORTSQL/EXPORTSQL USAGE returns before file/table work.
  IMPORTSQL PREVIEW/VALIDATE/SCHEMA read input files.
  IMPORTSQL CREATE/FILE may create tables and import records.
  EXPORTSQL hooks are currently preview/file command surfaces.",,"USE
  COPY
  SQL",
INDEX,src/cli/cmd_index.cpp,DOT|INDEX,index,supported,create,index-file filesystem order-metadata,INDEX USAGE,"Build an INX index file from the current table using a field key,
  tag/file name, optional direction, and optional INX format.","INDEX USAGE
  INDEX ON <field> TAG <name>
  INDEX ON <field> TAG <name> ASC
  INDEX ON <field> TAG <name> DESC
  INDEX ON <field> TAG <name> 1INX
  INDEX ON <field> TAG <name> 2INX
  INDEX ON <field> TAG <name> ASC 1INX
  INDEX ON <field> TAG <name> DESC 2INX","INDEX ON LNAME TAG students
  INDEX ON LNAME TAG students DESC
  INDEX ON LNAME TAG students ASC 1INX
  INDEX ON LNAME TAG students DESC 2INX","INDEX requires an open table except for INDEX USAGE, INDEX HELP, and INDEX question-mark.
  Deleted records are excluded.
  Default direction is ASC.
  Default output format is 2INX, matching REINDEX.
  Optional direction and format tokens may appear in either order.
  Field-number tokens are also accepted by the parser, but omitted from mineable usage rows because hash syntax is a source-comment marker.
  2INX uses fixed-length keys, uppercases character fields, and writes a pos-by-recno table.
  TAG must name an INX file target; non-.inx extensions are refused.
  INDEX writes an index file through the INDEXES path resolver and does not mutate table records.",,"REINDEX
  SET INDEX
  SET ORDER
  CDX
  CNX","  - Default output format: 2INX (matches REINDEX).
  - Optional direction token selects ASC or DESC.
  - Optional format token selects 1INX or 2INX.
Notes:
  - Deleted records are excluded (matches REINDEX).
  - 2INX uses fixed-length keys (field length), uppercased for character fields,
    and includes a pos-by-recno table for fast navigation.
Examples:
  INDEX ON LNAME TAG students
  INDEX ON LNAME TAG students DESC
  INDEX ON #2 TAG students ASC 1INX
  INDEX ON LNAME TAG students DESC 2INX"
INDEXSEEK,src/cli/cmd_indexseek.cpp,DOT|INDEXSEEK,navigation,supported,seek,cursor-temporary,INDEXSEEK USAGE,"Return the record number for a value using active CDX/LMDB order or legacy
  INX fallback, restoring the caller's cursor.","INDEXSEEK USAGE
  INDEXSEEK <value>
  INDEXSEEK <value> SOFT
  INDEXSEEK <value> TAG <tag-or-path>
  INDEXSEEK <value> SOFT TAG <tag-or-path>","INDEXSEEK ""TAYLOR""
  INDEXSEEK ""TAYLOR"" SOFT
  INDEXSEEK ""TAYLOR"" TAG students.cdx","INDEXSEEK USAGE works without an open table.
  INDEXSEEK prints INDEXSEEK(): <recno> and restores the cursor best-effort.
  Active CDX/LMDB order is preferred when available; legacy INX fallback remains supported.
  SOFT returns the first >= key when an exact match is not found.",,"SEEK
  FIND
  SET ORDER","- TAG <file.cdx|path\file.cdx|file.cdx.d>: open that CDX/LMDB container and use the
  requested/current tag when possible.
- Legacy INX fallback remains supported (""1INX"" / ""2INX"").
Output:
  INDEXSEEK(): <recno>
Behavior:
- Exact hit => matching recno
- Miss => 0, unless SOFT, where first >= key (by ordered scan) is returned.
Notes:
- For CDX/LMDB, this implementation uses the public cursor API actually present
  in the tree: first/last/next/prev.
- It does not move the caller's record pointer."
INIT,src/cli/cmd_init.cpp,DOT|INIT,script,supported,initialize,path-state lock-state delegates-command-effects,INIT USAGE,"Initialize runtime paths, cleanup stale locks, and run system/user init
  scripts from the executable directory.","INIT
  INIT USAGE",,"INIT with no arguments initializes default paths when needed and reports path slots.
  INIT cleans stale DBF locks best-effort.
  INIT runs dottalkpp.ini and init.ini from the executable directory when present.
  INIT USAGE prints usage and does not initialize paths, cleanup locks, or run scripts.
  Script commands run through the shell command executor and may have their own side effects.",,"SHUTDOWN
  SETPATH
  DOTSCRIPT","src/cli/cmd_init.cpp
Initializes runtime environment before the REPL (paths, locks, init scripts)"
INSERT,src/cli/cmd_sql_insert.cpp,DOT|INSERT,sql,supported,insert-record,table-data,INSERT USAGE,Insert a new record into the current DBF work area using SQL-like syntax.,"INSERT USAGE
  INSERT (<field-list>) VALUES (<value-list>)
  INSERT <field>=<value> [, <field>=<value> ...]","INSERT (SID,LNAME,FNAME) VALUES (999,""SMITH"",""JANE"")
  INSERT SID=999, LNAME=""SMITH"", FNAME=""JANE""","INSERT USAGE prints usage before open-table checks.
  INSERT appends a new record and writes supplied field values.
  Field/value count must match in VALUES form.",,"SQL
  UPDATE
  SQLERASE",
LAST,src/cli/cmd_last.cpp,DOT|LAST,navigation,supported,navigate,cursor,LAST USAGE,Move the current work-area cursor to the last visible/logical record.,"LAST
  LAST USAGE",,"LAST with no arguments moves to the last visible/logical record.
  LAST requires an open table except for LAST USAGE.
  LAST uses the logical_nav last_recno helper.
  LAST mutates cursor position but does not mutate table data.
  TALK ON prints the resulting record number when movement succeeds.",,"TOP
  BOTTOM
  FIRST
  LAST
  NEXT
  PRIOR
  SKIP
  GOTO
  GPS","src/cli/cmd_last.cpp
LAST = last visible record in current logical view
(active order + filter visibility)."
LIST,src/cli/cmd_list.cpp,DOT|LIST,report,supported,report,cursor,LIST USAGE,"Display rows from the current work area using classic LIST-style output,
  honoring active order/index state and optional filtering modes.","LIST
  LIST USAGE
  LIST TOP
  LIST BOTTOM
  LIST ALL
  LIST <limit>
  LIST DELETED
  LIST FOR <predicate>
  LIST TOP <limit>
  LIST BOTTOM <limit>",,"LIST requires an open table except for LIST USAGE.
  LIST with no arguments displays from the current cursor position.
  LIST ALL starts at the top and removes the default output limit.
  TOP and BOTTOM move to an endpoint before listing.
  DELETED selects deleted records using physical traversal.
  FOR applies an expression predicate after normalization.
  Active order/index state is honored when possible; LIST falls back to physical order with a note.
  LIST is read-only for table data and restores cursor position best-effort.",,"SMARTLIST
  SET ORDER
  SET INDEX
  COUNT
  LOCATE",src/cli/cmd_list.cpp
LIST_LMDB,src/cli/cmd_list_lmdb.cpp,DOT|LIST_LMDB,index,supported,report,cursor order-state index-backend,LIST_LMDB USAGE,Enumerate records in active LMDB/CDX index order without in-memory sorting.,"LIST_LMDB
  LIST_LMDB USAGE
  LIST_LMDB ALL
  LIST_LMDB <limit>
  LIST_LMDB DELETED
  LIST_LMDB NODELETED
  LIST_LMDB ASC
  LIST_LMDB DESC
  LIST_LMDB <tag>
  LL
  LL USAGE
  LL ALL
  LL <limit>",,"LIST_LMDB with no arguments lists records through the active LMDB order.
  LL is a shorthand alias for LIST_LMDB.
  Tokens are accepted in any order.
  A supplied tag becomes the active tag for the current area and updates order state.
  ASC and DESC override display direction for the command.
  LIST_LMDB requires an open table and active LMDB order except for LIST_LMDB USAGE.
  LIST_LMDB restores the original cursor best-effort after listing.",,"LMDB
  SETLMDB
  SET ORDER
  LIST","src/cli/cmd_list_lmdb.cpp
LIST_LMDB / LL
  Enumerates records in *LMDB index order* (no in-memory sorting).
Contract:
  DbArea -> IndexManager -> CdxBackend -> LMDB env
Usage (tokens in any order):
  LL [ALL] [<limit>] [DELETED|NODELETED] [<TAG>]
  LIST_LMDB ...same...
Notes:
- If <TAG> is provided, it becomes the active tag for this area (and updates orderstate).
- Descending order is supported: if the area's order is DESC, we iterate cursor via last/prev."
LMDB,src/cli/cmd_lmdb.cpp,DOT|LMDB,index,developer,mixed,index-backend order-state cursor,LMDB USAGE,"Inspect and control the per-area LMDB backed CDX index backend through the
  current DbArea IndexManager.","LMDB USAGE
  LMDB INFO
  LMDB OPEN <container.cdx>
  LMDB OPEN <envdir.cdx.d>
  LMDB OPEN <stem>
  LMDB USE <tag>
  LMDB SEEK <key>
  LMDB DUMP
  LMDB DUMP <max>
  LMDB SCAN <low> <high>
  LMDB CLOSE",,"LMDB is a thin wrapper over the current area IndexManager and CDX backend.
  LMDB does not use LMDB_UTIL or any shared global LMDB environment.
  Bare stems are resolved through the INDEXES path slot.
  OPEN attaches the CDX container and updates legacy order state.
  USE selects an active tag and updates legacy active-tag state.
  SEEK searches the selected tag and reports the matching record number.
  DUMP and SCAN inspect the selected tag.
  CLOSE closes the current area index manager and clears order state.
  LMDB mutates index/order session state but not table records.",,"CDX
  CNX
  SET INDEX
  SET ORDER
  LMDBDUMP
  LMDB_UTIL","File: src/cli/cmd_lmdb.cpp
LMDB command (per-area, no global LMDB env).
Design:
  DbArea -> IndexManager -> CdxBackend -> MDB_env*
This command is intentionally a thin wrapper over DbArea::indexManager().
It does not touch LMDB_UTIL or any shared singleton state."
LMDBDUMP,src/cli/cmd_lmdb_dump.cpp,DOT|LMDBDUMP,diagnostics,developer,inspect,none,LMDBDUMP USAGE,"Open an LMDB environment read-only and dump keys and values for diagnostics,
  with optional named DB, grep, limit, and start-key controls.","LMDBDUMP USAGE
  LMDBDUMP <env_path>
  LMDBDUMP <env_path> --db <name>
  LMDBDUMP <env_path> -db <name>
  LMDBDUMP <env_path> --grep <ascii>
  LMDBDUMP <env_path> -grep <ascii>
  LMDBDUMP <env_path> --trydb
  LMDBDUMP <env_path> --limit <n>
  LMDBDUMP <env_path> --start <key>
  LMDBDUMP <env_path> --starthex <hex>","LMDBDUMP indexes\students.cdx.d
  LMDBDUMP indexes\students.cdx.d --trydb
  LMDBDUMP indexes\students.cdx.d --grep MILLER --limit 50
  LMDBDUMP indexes\students.cdx.d --db lname --start M --limit 200","LMDBDUMP opens the supplied LMDB environment read-only.
  LMDBDUMP does not depend on the xindex backend or current work area.
  --start treats the key as ASCII unless it begins with 0x.
  --starthex accepts hex bytes.
  --trydb scans main DB keys and probes named DB candidates.
  LMDBDUMP is diagnostic and does not mutate table or index data.",,"LMDB
  CDX
  CNX","      [--limit <N>]
      [--start <key>]        (ASCII unless prefixed with 0x...)
      [--starthex <hex...>]  (hex bytes; spaces OK)
Examples:
  LMDBDUMP indexes\students.cdx.d
  LMDBDUMP indexes\students.cdx.d --trydb
  LMDBDUMP indexes\students.cdx.d --grep MILLER --limit 50
  LMDBDUMP indexes\students.cdx.d --db lname --start M --limit 200
  LMDBDUMP indexes\students.cdx.d --starthex 4d 49 4c 4c 45 52
Notes:
- Standalone: opens LMDB env read-only from <env_path>. Does NOT depend on your xindex backend.
- Wire from your existing cmd_LMDB dispatcher (DO NOT define cmd_LMDB here)."
LMDB_UTIL,src/cli/cmd_lmdb_util.cpp,DOT|LMDB_UTIL,diagnostics,deprecated,report,none,LMDB_UTIL USAGE,"Deprecated disabled LMDB utility command that points users to the per-area
  LMDB command.","LMDB_UTIL
  LMDB_UTIL USAGE",,"LMDB_UTIL is deprecated and disabled.
  LMDB_UTIL intentionally does not open LMDB environments or transactions.
  Use LMDB INFO, LMDB OPEN, LMDB USE, LMDB SEEK, LMDB DUMP, LMDB SCAN, and LMDB CLOSE instead.
  This avoids cross-area contamination and reader-slot conflicts.",,"LMDB
  LMDBDUMP
  CDX","The project has moved to the OO model:
  DbArea -> IndexManager -> CdxBackend -> MDB_env*
Use the per-area LMDB command instead:
  LMDB INFO
  LMDB OPEN <container.cdx | envdir.cdx.d | stem>
  LMDB USE  <TAG>
  LMDB SEEK <key>
  LMDB DUMP [<max>]
  LMDB SCAN <low> <high>
  LMDB CLOSE
This stub intentionally does NOT open any LMDB environments or transactions,
to avoid cross-area contamination and reader-slot conflicts."
LOCATE,src/cli/cmd_locate.cpp,DOT|LOCATE,navigation,supported,locate,cursor locate-state continue-state,LOCATE USAGE,"Locate the first record matching a predicate, using simple CDX fast-path
  when possible and selector-backed scanning otherwise.","LOCATE USAGE
  LOCATE FOR <expr>
  LOCATE <field> <op> <value>","LOCATE FOR LNAME = Smith
  LOCATE LNAME = Smith
  LOCATE FOR BALANCE > 100","LOCATE requires an open table except for LOCATE USAGE.
  LOCATE with no predicate shows usage.
  LOCATE clears previous LOCATE and CONTINUE bridge state before searching.
  Simple predicates on the active CDX tag may use the CDX fast path.
  Complex predicates are evaluated through the selector and expression path.
  LOCATE positions on the first matching record.
  LOCATE updates locate state and CONTINUE bridge state after a match.
  LOCATE is read-only for table data but mutates cursor/search state.",,"CONTINUE
  FIND
  SEEK
  COUNT
  SET FILTER",src/cli/cmd_locate.cpp
